IDC-Malaysia,103.106.251.37
IDC-russia1,178.22.90.43
IDC-vietnam1,103.48.192.76
IDC-Indonesia1,35.198.204.189
IDC-TaiWan,112.121.94.94
IDC-korea1,220.95.235.146
IDC-Japan,158.205.79.254
IDC-us,52.4.148.176
IDC-Singapore1,203.118.6.101
aws-us-east-1,52.119.228.200
aws-us-east-2,52.94.4.68
aws-us-west-1,52.94.12.0
aws-us-west-2,52.94.29.176
aws-ca-central-1,52.94.14.38
aws-eu-west-1,52.94.5.8
aws-eu-west-2,52.94.15.84
aws-eu-central-1,52.94.17.14
aws-ap-south-1,52.94.20.66
aws-ap-northeast-2,52.94.6.16
aws-ap-southeast-1,52.94.11.72
aws-ap-southeast-2,52.94.13.74
aws-ap-northeast-1,52.94.8.88
aws-sa-east-1,52.94.7.76
aws-us-gov-west-1,52.94.9.78
unicom-us-east,207.254.177.165
unicom-us-west,207.254.190.100
unicom-Singapore,103.1.64.28
